Name,Emp ID,Expense Type,Payment Type,Vendor Type,Payment Date,Country,Region,Company Code,Project Code,Cost Center,Receipt Status,,,Company Code
Fiona,99688,Transport,Online,Hotel,08-04-2022 18:02,Germany,West,1268,PJ618,CC11,Rejected,,,
Julia,92457,Transport,Credit Card,Hotel,28-05-2022 00:41,Canada,North,4248,PJ576,CC17,Approved,,,
Hannah,16921,Accommodation,Bank Transfer,Taxi,06-11-2022 08:16,Germany,Central,1100,PJ141,CC1,Pending,,,
Alice,48804,Meals,Cash,Restaurant,04-04-2022 17:37,USA,West,1999,PJ817,CC4,Rejected,,,
Julia,77699,Meals,Bank Transfer,Restaurant,14-05-2022 19:43,USA,North,6175,PJ840,CC40,Received,,,
George,80608,Travel,Cash,Airline,09-01-2022 13:19,Japan,West,9284,PJ778,CC16,Pending,,,
Edward,47619,Transport,Bank Transfer,Taxi,03-02-2022 06:09,Germany,Central,3218,PJ853,CC32,Rejected,,,
Fiona,17877,Travel,Cash,Taxi,13-01-2022 08:07,France,West,1085,PJ760,CC1,Approved,,,
Charlie,93966,Accommodation,Cash,Taxi,23-07-2022 00:30,France,Central,7315,PJ213,CC43,Received,,,
Ivan,11871,Transport,Online,Restaurant,04-12-2022 09:24,Canada,East,7281,PJ895,CC41,Received,,,
Hannah,83135,Accommodation,Cash,Restaurant,28-12-2022 01:26,USA,West,1085,PJ199,CC44,Received,,,
Julia,12496,Travel,Bank Transfer,Airline,21-09-2022 17:53,Canada,East,7843,PJ882,CC42,Received,,,
Julia,57954,Accommodation,Credit Card,Taxi,03-10-2022 23:17,Canada,West,1085,PJ982,CC48,Received,,,
Bob,34675,Accommodation,Online,Airline,26-06-2022 20:20,France,East,8439,PJ500,CC38,Pending,,,
Edward,41921,Meals,Bank Transfer,Taxi,18-01-2022 17:31,Japan,East,6807,PJ416,CC13,Pending,,,
Charlie,10797,Transport,Online,Taxi,01-01-2022 05:59,Canada,East,7141,PJ882,CC21,Received,,,
Bob,59811,Transport,Bank Transfer,Taxi,05-10-2022 00:53,UK,South,6807,PJ261,CC43,Pending,,,
Ivan,78755,Transport,Online,Airline,06-10-2022 20:08,Canada,North,8196,PJ921,CC33,Received,,,
Fiona,90782,Accommodation,Bank Transfer,Hotel,27-02-2022 08:25,Canada,North,9284,PJ504,CC31,Rejected,,,
Edward,91857,Meals,Cash,Restaurant,26-10-2022 20:16,Japan,East,3665,PJ436,CC42,Received,,,
Alice,62489,Travel,Online,Restaurant,09-12-2022 22:20,USA,South,4648,PJ154,CC21,Approved,,,
Hannah,94665,Transport,Cash,Airline,10-12-2022 05:13,Germany,South,6604,PJ194,CC13,Received,,,
Diana,51504,Accommodation,Online,Airline,16-11-2022 13:16,Canada,Central,6175,PJ910,CC11,Received,,,
Alice,59866,Meals,Online,Restaurant,26-12-2022 20:09,Canada,South,6604,PJ242,CC8,Pending,,,
Fiona,94212,Meals,Bank Transfer,Taxi,04-09-2022 00:13,Germany,East,1999,PJ982,CC12,Rejected,,,
Ivan,21723,Transport,Bank Transfer,Airline,25-10-2022 18:09,USA,Central,3218,PJ875,CC6,Received,,,
Bob,53890,Meals,Cash,Taxi,20-11-2022 19:42,Japan,North,1999,PJ285,CC7,Received,,,
Alice,27591,Meals,Online,Restaurant,19-11-2022 11:53,Japan,North,2669,PJ918,CC42,Pending,,,
Ivan,68146,Accommodation,Credit Card,Restaurant,04-03-2022 06:10,Japan,West,9284,PJ285,CC43,Approved,,,
Edward,69300,Travel,Cash,Restaurant,25-06-2022 22:24,USA,East,8706,PJ773,CC28,Approved,,,
Alice,99141,Meals,Online,Taxi,23-01-2022 21:28,Japan,West,5918,PJ877,CC45,Approved,,,
Alice,81557,Travel,Online,Airline,21-02-2022 00:40,UK,North,9284,PJ357,CC26,Approved,,,
Diana,30006,Meals,Online,Restaurant,18-07-2022 03:16,France,South,5918,PJ489,CC37,Rejected,,,
Alice,13560,Meals,Cash,Taxi,19-04-2022 16:58,USA,Central,9324,PJ210,CC5,Approved,,,
Edward,71713,Meals,Bank Transfer,Taxi,22-01-2022 15:45,USA,West,7843,PJ656,CC44,Rejected,,,
Edward,55444,Transport,Online,Hotel,16-06-2022 04:22,UK,East,2959,PJ767,CC49,Received,,,
Charlie,56522,Transport,Bank Transfer,Restaurant,02-02-2022 01:55,Germany,North,6807,PJ250,CC5,Pending,,,
Diana,96904,Transport,Cash,Airline,03-05-2022 16:32,Japan,North,3665,PJ871,CC44,Pending,,,
Charlie,30737,Travel,Bank Transfer,Restaurant,03-07-2022 07:13,USA,Central,7065,PJ927,CC38,Approved,,,
Bob,38647,Travel,Cash,Hotel,05-07-2022 10:19,USA,North,2390,PJ860,CC6,Pending,,,
Bob,71353,Transport,Credit Card,Restaurant,20-11-2022 12:13,Canada,West,2390,PJ275,CC9,Pending,,,
Edward,90163,Travel,Bank Transfer,Hotel,13-05-2022 13:10,France,North,4369,PJ924,CC15,Approved,,,
Edward,22134,Accommodation,Credit Card,Hotel,25-04-2022 08:32,Germany,North,3218,PJ559,CC23,Rejected,,,
Julia,70535,Travel,Cash,Restaurant,14-12-2022 05:00,Canada,Central,9324,PJ151,CC25,Rejected,,,
Alice,57883,Accommodation,Credit Card,Airline,12-10-2022 12:37,France,South,9324,PJ335,CC12,Received,,,
Hannah,96107,Transport,Bank Transfer,Restaurant,25-01-2022 07:09,Germany,East,4248,PJ168,CC12,Rejected,,,
Hannah,73360,Accommodation,Credit Card,Taxi,24-01-2022 23:40,Japan,East,4248,PJ406,CC37,Rejected,,,
Diana,61811,Transport,Bank Transfer,Taxi,13-04-2022 10:39,France,West,4794,PJ748,CC10,Approved,,,
Fiona,19781,Transport,Credit Card,Hotel,02-12-2022 19:24,Germany,East,3665,PJ200,CC48,Rejected,,,
Julia,29340,Transport,Bank Transfer,Taxi,10-04-2022 18:47,USA,Central,8654,PJ263,CC40,Pending,,,
Julia,37257,Travel,Cash,Restaurant,19-05-2022 10:15,Germany,Central,6003,PJ665,CC1,Received,,,
Fiona,26298,Meals,Credit Card,Taxi,24-12-2022 10:19,Japan,North,9693,PJ563,CC6,Rejected,,,
George,22372,Meals,Credit Card,Restaurant,19-07-2022 15:27,UK,North,7315,PJ117,CC16,Rejected,,,
Julia,14420,Accommodation,Online,Taxi,02-06-2022 07:55,Japan,West,7281,PJ986,CC24,Rejected,,,
Alice,92991,Meals,Credit Card,Airline,16-09-2022 10:51,Japan,South,5918,PJ569,CC19,Pending,,,
Julia,72079,Transport,Online,Taxi,10-01-2022 16:32,Canada,North,9693,PJ671,CC10,Approved,,,
Julia,89860,Meals,Bank Transfer,Hotel,02-08-2022 10:11,UK,Central,4248,PJ422,CC23,Rejected,,,
Hannah,17012,Accommodation,Online,Airline,27-10-2022 23:27,Japan,North,2038,PJ683,CC42,Approved,,,
Julia,19396,Transport,Credit Card,Airline,06-01-2022 05:24,France,West,6807,PJ510,CC18,Approved,,,
Bob,13918,Travel,Credit Card,Restaurant,16-11-2022 10:15,Japan,West,2669,PJ100,CC17,Pending,,,
Alice,19359,Transport,Online,Restaurant,17-05-2022 06:38,France,North,2678,PJ708,CC22,Pending,,,
Hannah,54259,Transport,Bank Transfer,Hotel,21-07-2022 19:19,UK,South,4648,PJ364,CC44,Pending,,,
Ivan,33482,Accommodation,Bank Transfer,Hotel,09-11-2022 17:49,Germany,East,4432,PJ419,CC34,Pending,,,
Edward,25127,Travel,Online,Hotel,19-02-2022 10:40,Canada,Central,3218,PJ171,CC22,Received,,,
Ivan,47237,Transport,Credit Card,Hotel,03-11-2022 10:33,Japan,South,9324,PJ542,CC11,Approved,,,
George,89701,Travel,Credit Card,Airline,02-03-2022 03:58,USA,West,2038,PJ192,CC16,Pending,,,
Charlie,18752,Transport,Bank Transfer,Hotel,22-07-2022 03:19,Canada,Central,9353,PJ979,CC49,Pending,,,
George,90041,Transport,Credit Card,Taxi,09-12-2022 00:32,Canada,Central,7065,PJ383,CC25,Received,,,
Charlie,81331,Accommodation,Credit Card,Taxi,02-03-2022 13:42,Germany,East,1793,PJ433,CC32,Rejected,,,
Charlie,60624,Transport,Online,Taxi,05-05-2022 09:33,Japan,West,9324,PJ504,CC37,Approved,,,
Charlie,99183,Transport,Online,Hotel,17-04-2022 19:31,France,East,4369,PJ803,CC21,Approved,,,
Ivan,50133,Transport,Cash,Taxi,20-07-2022 20:25,Germany,East,8196,PJ457,CC36,Received,,,
Diana,65153,Meals,Online,Restaurant,03-09-2022 02:58,Germany,South,7281,PJ245,CC7,Approved,,,
Hannah,72756,Travel,Cash,Airline,12-04-2022 04:26,USA,West,6604,PJ980,CC44,Received,,,
Ivan,91757,Accommodation,Online,Hotel,22-10-2022 05:58,France,West,9353,PJ188,CC20,Rejected,,,
Diana,94355,Accommodation,Online,Airline,31-08-2022 03:40,Japan,South,2390,PJ168,CC13,Rejected,,,
Hannah,58682,Accommodation,Credit Card,Restaurant,02-06-2022 14:27,France,West,9284,PJ624,CC32,Approved,,,
Julia,76509,Transport,Cash,Airline,20-02-2022 13:14,USA,South,4432,PJ111,CC3,Received,,,
Bob,96384,Travel,Cash,Airline,15-02-2022 13:48,Canada,West,1885,PJ622,CC25,Rejected,,,
Edward,85751,Meals,Bank Transfer,Hotel,20-05-2022 13:18,France,North,8654,PJ668,CC44,Approved,,,
Charlie,86693,Meals,Online,Airline,28-03-2022 16:05,UK,West,8949,PJ945,CC2,Approved,,,
Fiona,34777,Accommodation,Online,Hotel,08-05-2022 10:10,UK,North,9693,PJ158,CC30,Pending,,,
Hannah,23824,Travel,Credit Card,Restaurant,07-06-2022 08:58,UK,East,4950,PJ623,CC31,Approved,,,
Ivan,12418,Meals,Credit Card,Taxi,11-09-2022 01:47,Canada,East,5918,PJ772,CC27,Approved,,,
Ivan,22843,Accommodation,Cash,Hotel,15-11-2022 20:43,UK,East,3965,PJ320,CC6,Rejected,,,
Julia,88778,Meals,Cash,Restaurant,24-06-2022 12:25,USA,Central,1100,PJ416,CC35,Rejected,,,
Fiona,46223,Meals,Credit Card,Restaurant,03-11-2022 16:48,France,East,7315,PJ523,CC10,Pending,,,
Edward,71570,Travel,Bank Transfer,Hotel,30-11-2022 10:41,USA,North,2038,PJ341,CC9,Approved,,,
Bob,16521,Accommodation,Credit Card,Hotel,18-06-2022 09:01,France,South,1999,PJ727,CC43,Rejected,,,
George,98162,Meals,Bank Transfer,Airline,05-06-2022 11:37,USA,South,2161,PJ517,CC14,Received,,,
Diana,66894,Transport,Credit Card,Hotel,04-05-2022 10:37,USA,Central,8963,PJ840,CC43,Pending,,,
Fiona,84659,Transport,Credit Card,Taxi,06-12-2022 23:20,Germany,West,2390,PJ289,CC32,Received,,,
Diana,24254,Meals,Bank Transfer,Taxi,17-12-2022 16:59,Japan,East,1268,PJ453,CC49,Approved,,,
Alice,61939,Travel,Bank Transfer,Taxi,14-04-2022 15:42,Canada,West,3405,PJ261,CC24,Pending,,,
Fiona,99236,Travel,Bank Transfer,Restaurant,24-04-2022 14:55,USA,South,7141,PJ618,CC41,Rejected,,,
Bob,47073,Meals,Online,Taxi,12-09-2022 00:53,Canada,North,8706,PJ258,CC14,Approved,,,
Ivan,33310,Travel,Online,Taxi,15-10-2022 23:20,Canada,Central,4950,PJ586,CC3,Approved,,,
Hannah,41785,Travel,Bank Transfer,Airline,27-05-2022 19:51,Japan,Central,8654,PJ959,CC23,Approved,,,
Fiona,74570,Transport,Online,Hotel,31-03-2022 11:49,Germany,Central,9353,PJ498,CC45,Received,,,
Charlie,90577,Accommodation,Bank Transfer,Airline,18-09-2022 01:34,USA,East,3965,PJ197,CC18,Received,,,
Bob,66356,Accommodation,Bank Transfer,Airline,12-11-2022 06:51,USA,Central,8963,PJ955,CC6,Pending,,,
Julia,33306,Meals,Bank Transfer,Restaurant,04-04-2022 22:40,Japan,North,1268,PJ568,CC16,Rejected,,,
Diana,46950,Meals,Cash,Restaurant,27-10-2022 11:39,UK,North,1085,PJ807,CC47,Received,,,
Alice,88696,Meals,Credit Card,Restaurant,28-09-2022 10:26,Japan,Central,7840,PJ425,CC25,Received,,,
Alice,88928,Transport,Bank Transfer,Hotel,07-04-2022 03:05,Canada,South,4369,PJ881,CC20,Pending,,,
Bob,89904,Transport,Online,Restaurant,15-03-2022 16:24,Germany,South,2390,PJ259,CC5,Pending,,,
Hannah,80838,Travel,Online,Taxi,28-06-2022 17:39,Canada,Central,8196,PJ855,CC40,Approved,,,
Diana,43920,Transport,Online,Airline,01-02-2022 06:15,USA,East,4648,PJ819,CC1,Rejected,,,
George,98870,Accommodation,Cash,Restaurant,06-08-2022 05:50,UK,South,3665,PJ425,CC1,Approved,,,
Hannah,89128,Transport,Credit Card,Airline,20-03-2022 04:54,USA,Central,1100,PJ920,CC40,Received,,,
George,43538,Meals,Online,Restaurant,26-10-2022 11:38,France,North,2959,PJ181,CC44,Pending,,,
Alice,91411,Accommodation,Credit Card,Taxi,22-12-2022 03:00,UK,West,1999,PJ970,CC11,Pending,,,
Fiona,18286,Travel,Credit Card,Airline,15-11-2022 03:21,Germany,South,6003,PJ579,CC30,Rejected,,,
Ivan,28728,Accommodation,Cash,Hotel,17-10-2022 16:14,Germany,East,8550,PJ215,CC25,Pending,,,
Edward,23640,Transport,Cash,Airline,19-07-2022 09:36,Canada,West,6604,PJ444,CC10,Pending,,,
Julia,78627,Transport,Credit Card,Airline,21-02-2022 05:44,Canada,West,1100,PJ954,CC12,Received,,,
Diana,55663,Travel,Cash,Taxi,03-05-2022 09:17,UK,East,2390,PJ885,CC21,Rejected,,,
Hannah,13912,Meals,Cash,Hotel,07-03-2022 23:59,USA,East,4248,PJ735,CC2,Received,,,
Fiona,60586,Travel,Bank Transfer,Hotel,20-08-2022 19:42,UK,Central,6003,PJ290,CC12,Received,,,
Fiona,82130,Travel,Online,Restaurant,12-11-2022 18:04,France,North,1885,PJ936,CC6,Received,,,
Fiona,31752,Travel,Cash,Restaurant,16-06-2022 09:07,Japan,East,2038,PJ207,CC27,Received,,,
Hannah,69715,Travel,Credit Card,Hotel,31-10-2022 05:08,UK,East,2234,PJ273,CC14,Pending,,,
Charlie,99068,Transport,Credit Card,Hotel,19-06-2022 19:21,Japan,West,5659,PJ282,CC4,Approved,,,
Diana,17997,Meals,Cash,Hotel,21-10-2022 16:16,UK,South,3405,PJ803,CC33,Rejected,,,
Julia,63006,Accommodation,Cash,Restaurant,14-07-2022 04:04,Japan,South,6807,PJ589,CC33,Pending,,,
Alice,50800,Meals,Credit Card,Restaurant,20-11-2022 08:06,France,East,2234,PJ938,CC5,Received,,,
Charlie,25620,Meals,Online,Taxi,20-11-2022 07:08,USA,North,6807,PJ287,CC45,Approved,,,
Edward,80381,Travel,Credit Card,Hotel,23-11-2022 11:14,France,East,7840,PJ825,CC37,Received,,,
Bob,64268,Meals,Cash,Taxi,21-07-2022 09:07,UK,North,8654,PJ490,CC37,Received,,,
George,79069,Travel,Cash,Hotel,17-05-2022 15:31,Canada,West,8963,PJ912,CC2,Received,,,
Julia,78473,Accommodation,Bank Transfer,Taxi,28-06-2022 15:02,Germany,Central,7065,PJ898,CC34,Pending,,,
Bob,52512,Travel,Credit Card,Airline,06-11-2022 09:08,USA,West,4648,PJ664,CC28,Pending,,,
Ivan,29608,Accommodation,Cash,Hotel,25-10-2022 02:39,USA,Central,1100,PJ506,CC44,Rejected,,,
George,80557,Meals,Online,Taxi,22-03-2022 12:05,France,West,1885,PJ596,CC44,Received,,,
Charlie,27340,Travel,Cash,Restaurant,21-01-2022 19:54,Canada,East,8654,PJ890,CC27,Pending,,,
Edward,11913,Transport,Cash,Restaurant,20-04-2022 09:45,UK,East,9324,PJ153,CC22,Rejected,,,
Alice,62086,Accommodation,Credit Card,Taxi,17-05-2022 05:02,Canada,North,7315,PJ405,CC41,Approved,,,
Edward,23429,Meals,Bank Transfer,Hotel,15-05-2022 02:56,France,East,8963,PJ190,CC23,Rejected,,,
Edward,23907,Accommodation,Online,Restaurant,09-02-2022 00:00,USA,South,8706,PJ524,CC36,Rejected,,,
Alice,45489,Travel,Cash,Taxi,27-09-2022 12:42,UK,East,4648,PJ945,CC15,Approved,,,
Edward,20088,Transport,Bank Transfer,Taxi,20-09-2022 22:51,France,South,1793,PJ876,CC12,Rejected,,,
Fiona,25588,Accommodation,Credit Card,Hotel,17-02-2022 23:41,Germany,West,1793,PJ403,CC21,Approved,,,
Fiona,48395,Accommodation,Online,Airline,15-08-2022 08:20,Germany,West,3965,PJ609,CC16,Pending,,,
Julia,70155,Accommodation,Online,Restaurant,09-11-2022 02:55,Germany,Central,3218,PJ595,CC3,Rejected,,,
Edward,48214,Meals,Bank Transfer,Taxi,18-03-2022 09:22,Japan,Central,2038,PJ763,CC19,Received,,,
George,10469,Transport,Bank Transfer,Restaurant,25-04-2022 22:20,USA,East,2038,PJ726,CC10,Received,,,
George,53295,Transport,Bank Transfer,Taxi,16-07-2022 18:25,USA,East,4369,PJ905,CC31,Pending,,,
George,84253,Transport,Credit Card,Hotel,07-03-2022 14:55,Canada,Central,8550,PJ109,CC24,Received,,,
Julia,44488,Accommodation,Credit Card,Hotel,08-12-2022 03:34,Canada,East,8550,PJ389,CC26,Approved,,,
George,48040,Accommodation,Online,Restaurant,19-02-2022 21:21,Germany,South,6807,PJ704,CC8,Approved,,,
Alice,26975,Accommodation,Online,Hotel,02-02-2022 15:18,France,West,5918,PJ581,CC11,Pending,,,
Julia,25912,Accommodation,Cash,Restaurant,11-02-2022 04:32,Germany,North,2390,PJ750,CC24,Approved,,,
Ivan,38086,Travel,Cash,Airline,22-12-2022 20:13,UK,North,8654,PJ998,CC39,Received,,,
Fiona,92127,Travel,Cash,Taxi,21-05-2022 01:53,UK,West,7281,PJ319,CC5,Received,,,
Edward,25115,Meals,Bank Transfer,Airline,09-12-2022 21:36,Germany,North,6807,PJ242,CC17,Approved,,,
Fiona,89983,Accommodation,Bank Transfer,Restaurant,29-01-2022 06:21,France,North,5659,PJ958,CC14,Pending,,,
Edward,62573,Meals,Bank Transfer,Hotel,26-04-2022 10:20,Canada,South,7315,PJ871,CC33,Rejected,,,
Bob,74223,Transport,Credit Card,Restaurant,30-03-2022 00:36,Germany,West,4369,PJ631,CC8,Approved,,,
Fiona,21052,Accommodation,Cash,Hotel,03-09-2022 14:13,France,Central,4369,PJ547,CC47,Received,,,
Diana,25741,Travel,Online,Restaurant,28-04-2022 17:09,France,West,3218,PJ816,CC34,Pending,,,
Julia,67368,Accommodation,Credit Card,Airline,17-05-2022 11:20,UK,East,1627,PJ667,CC32,Rejected,,,
Ivan,53986,Transport,Bank Transfer,Taxi,13-08-2022 02:33,Canada,East,6604,PJ318,CC35,Pending,,,
Edward,15103,Meals,Online,Taxi,27-03-2022 04:21,France,West,2390,PJ942,CC29,Approved,,,
Fiona,45050,Accommodation,Cash,Airline,03-05-2022 12:35,Germany,North,3098,PJ918,CC46,Pending,,,
Hannah,11740,Travel,Credit Card,Airline,11-07-2022 01:54,Japan,South,8706,PJ796,CC46,Rejected,,,
Diana,65270,Transport,Online,Airline,19-01-2022 21:24,Japan,East,6150,PJ983,CC17,Pending,,,
Alice,22579,Transport,Online,Restaurant,09-10-2022 20:57,France,Central,5654,PJ488,CC8,Rejected,,,
Diana,81382,Meals,Cash,Airline,09-11-2022 20:54,Germany,South,1100,PJ615,CC27,Approved,,,
Charlie,57805,Accommodation,Cash,Taxi,27-07-2022 12:03,France,Central,3405,PJ621,CC26,Rejected,,,
George,30165,Travel,Cash,Hotel,25-07-2022 20:49,UK,North,4248,PJ205,CC24,Approved,,,
Julia,12775,Accommodation,Bank Transfer,Taxi,17-02-2022 09:06,Canada,Central,6150,PJ263,CC7,Approved,,,
Edward,94523,Travel,Bank Transfer,Airline,31-03-2022 22:31,France,Central,4648,PJ718,CC31,Pending,,,
Julia,40752,Meals,Cash,Hotel,26-04-2022 13:16,France,East,6150,PJ480,CC12,Received,,,
George,99099,Transport,Online,Taxi,03-10-2022 04:56,UK,North,6150,PJ743,CC24,Received,,,
Alice,89464,Meals,Bank Transfer,Taxi,14-06-2022 00:25,France,Central,5659,PJ178,CC21,Received,,,
Charlie,81892,Transport,Online,Taxi,29-07-2022 19:50,USA,South,9693,PJ892,CC8,Received,,,
Julia,43930,Accommodation,Credit Card,Airline,01-06-2022 10:47,USA,West,5918,PJ425,CC1,Rejected,,,
George,56774,Transport,Credit Card,Hotel,14-01-2022 04:02,Germany,West,8439,PJ908,CC47,Approved,,,
Diana,38651,Travel,Credit Card,Airline,19-07-2022 02:51,France,East,2390,PJ684,CC15,Received,,,
Ivan,72885,Meals,Bank Transfer,Restaurant,16-12-2022 12:56,Germany,Central,3665,PJ780,CC11,Pending,,,
Ivan,25997,Transport,Cash,Airline,03-02-2022 17:07,France,South,9324,PJ242,CC7,Rejected,,,
Hannah,75180,Transport,Credit Card,Airline,13-02-2022 10:16,UK,South,7315,PJ876,CC20,Rejected,,,
Julia,84498,Accommodation,Credit Card,Restaurant,22-08-2022 22:25,Canada,Central,7065,PJ844,CC4,Approved,,,
Bob,73003,Accommodation,Online,Airline,22-09-2022 11:06,Canada,Central,8439,PJ724,CC29,Rejected,,,
Edward,95971,Accommodation,Bank Transfer,Restaurant,25-05-2022 12:02,Germany,North,7843,PJ135,CC32,Pending,,,
Charlie,44009,Travel,Bank Transfer,Hotel,06-12-2022 20:55,USA,West,3665,PJ249,CC4,Rejected,,,
Fiona,53671,Accommodation,Online,Taxi,07-08-2022 04:30,Japan,Central,2678,PJ743,CC38,Rejected,,,
George,79939,Transport,Bank Transfer,Hotel,27-10-2022 02:20,Japan,Central,1885,PJ778,CC38,Pending,,,
Edward,27582,Travel,Online,Restaurant,30-07-2022 23:34,France,South,6175,PJ314,CC8,Received,,,
Ivan,39844,Accommodation,Cash,Restaurant,28-07-2022 20:03,Canada,East,5659,PJ297,CC9,Pending,,,
Charlie,94917,Transport,Online,Restaurant,14-03-2022 06:58,Germany,West,5659,PJ225,CC45,Pending,,,
Bob,48429,Travel,Cash,Restaurant,10-10-2022 22:26,France,West,8196,PJ612,CC49,Received,,,
Diana,91475,Transport,Bank Transfer,Restaurant,06-12-2022 17:06,UK,West,7065,PJ148,CC5,Rejected,,,
Charlie,86323,Accommodation,Credit Card,Airline,30-11-2022 10:02,Germany,North,1885,PJ249,CC6,Received,,,
Ivan,92727,Accommodation,Bank Transfer,Airline,02-05-2022 07:24,USA,West,8963,PJ659,CC12,Pending,,,
Fiona,70809,Travel,Credit Card,Restaurant,21-06-2022 03:59,France,South,3098,PJ708,CC20,Rejected,,,
Bob,12121,Meals,Bank Transfer,Airline,27-03-2022 23:17,France,Central,7315,PJ916,CC33,Rejected,,,
Fiona,55353,Transport,Online,Restaurant,10-10-2022 15:45,Canada,South,7315,PJ507,CC17,Pending,,,
Julia,99987,Transport,Online,Hotel,10-07-2022 22:03,Canada,North,5918,PJ488,CC42,Rejected,,,
George,13886,Meals,Cash,Taxi,14-04-2022 17:44,Japan,North,5659,PJ642,CC49,Rejected,,,
Bob,51690,Meals,Online,Restaurant,13-06-2022 04:53,Germany,South,9353,PJ469,CC46,Approved,,,
Hannah,97986,Transport,Credit Card,Restaurant,18-02-2022 16:58,Japan,East,8654,PJ497,CC7,Received,,,
Alice,90748,Travel,Online,Hotel,09-06-2022 08:58,USA,East,5659,PJ790,CC23,Received,,,
Fiona,85523,Meals,Cash,Restaurant,16-12-2022 06:46,Japan,North,2234,PJ853,CC35,Rejected,,,
Diana,92119,Accommodation,Credit Card,Hotel,23-06-2022 10:54,Canada,East,8654,PJ615,CC2,Rejected,,,
Charlie,15181,Travel,Credit Card,Hotel,09-02-2022 12:27,France,South,7141,PJ296,CC31,Approved,,,
Julia,53349,Meals,Bank Transfer,Hotel,05-01-2022 11:19,Japan,North,8963,PJ782,CC48,Received,,,
Fiona,86578,Accommodation,Credit Card,Restaurant,05-11-2022 11:31,Germany,West,1793,PJ765,CC34,Rejected,,,
George,52914,Accommodation,Online,Hotel,26-03-2022 17:58,Germany,East,4794,PJ950,CC2,Approved,,,
Diana,80744,Transport,Bank Transfer,Taxi,06-03-2022 15:31,USA,East,7141,PJ128,CC34,Pending,,,
Alice,81713,Travel,Cash,Hotel,06-09-2022 17:29,Canada,South,4432,PJ948,CC43,Approved,,,
George,73720,Meals,Bank Transfer,Restaurant,03-11-2022 10:11,Canada,South,3405,PJ149,CC2,Approved,,,
Charlie,80399,Accommodation,Cash,Hotel,02-08-2022 17:02,Japan,South,9693,PJ498,CC47,Approved,,,
Diana,57394,Transport,Cash,Restaurant,31-07-2022 11:43,USA,East,6604,PJ719,CC19,Rejected,,,
Hannah,83925,Meals,Bank Transfer,Taxi,20-12-2022 18:52,France,East,7141,PJ968,CC14,Pending,,,
Alice,10894,Accommodation,Credit Card,Restaurant,30-04-2022 06:31,Germany,North,6604,PJ814,CC24,Pending,,,
Bob,73413,Transport,Online,Restaurant,07-11-2022 09:26,USA,East,8439,PJ971,CC17,Rejected,,,
Julia,58208,Accommodation,Cash,Taxi,24-03-2022 06:49,UK,North,6604,PJ453,CC8,Approved,,,
Bob,40142,Transport,Credit Card,Taxi,01-06-2022 06:28,USA,South,9693,PJ674,CC35,Approved,,,
Hannah,42904,Transport,Cash,Restaurant,12-09-2022 15:38,Germany,West,8439,PJ189,CC43,Approved,,,
Hannah,36813,Travel,Online,Airline,07-05-2022 13:15,France,East,5654,PJ538,CC43,Rejected,,,
Fiona,49041,Meals,Cash,Hotel,10-05-2022 11:39,UK,South,5654,PJ857,CC35,Pending,,,
Fiona,69601,Transport,Cash,Taxi,12-11-2022 22:47,UK,West,8706,PJ728,CC35,Received,,,
